ENSMUSG00000101226.2	0	0	0
ENSMUSG00000026158.12	3551	1773	1778
ENSMUSG00000097920.2	0	0	0
ENSMUSG00000099503.2	0	0	0
ENSMUSG00000026156.9	96	601	579
ENSMUSG00000026155.14	598	863	819
ENSMUSG00000026154.5	954	1147	1194
ENSMUSG00000102495.2	0	703	684
ENSMUSG00000026153.16	3088	1491	1597
ENSMUSG00000102398.2	4	1	3
ENSMUSG00000097670.2	0	0	0
ENSMUSG00000026147.17	2	2	0
ENSMUSG00000026141.14	1	1	0
ENSMUSG00000077463.3	0	0	0
ENSMUSG00000099997.2	14	7	7
ENSMUSG00000100131.2	7333	4312	3021
ENSMUSG00000067736.3	1083	628	457
ENSMUSG00000101939.2	1140	685	455
ENSMUSG00000101111.2	11172	5636	5537
ENSMUSG00000100862.2	14223	8429	5797
ENSMUSG00000102070.2	14153	8492	5663
ENSMUSG00000101249.2	10113	5154	4959
ENSMUSG00000073725.9	4994	2521	2481
ENSMUSG00000100808.2	0	0	0
ENSMUSG00000100483.2	0	0	0
ENSMUSG00000100450.2	1	0	1
ENSMUSG00000099392.2	0	0	0
ENSMUSG00000033569.18	0	0	0
ENSMUSG00000080849.2	0	0	0
ENSMUSG00000104257.2	0	0	0
ENSMUSG00000119153.1	0	0	0
ENSMUSG00000102296.2	0	0	0
ENSMUSG00000103209.2	0	0	0
ENSMUSG00000104027.2	0	0	0
ENSMUSG00000102407.2	0	0	0
ENSMUSG00000103214.2	0	0	0
ENSMUSG00000104100.2	0	0	0
ENSMUSG00000084740.3	0	0	0
ENSMUSG00000103889.2	0	0	0
ENSMUSG00000101301.2	0	0	0
ENSMUSG00000104221.2	0	0	0
ENSMUSG00000102250.2	0	0	0
ENSMUSG00000102317.2	0	0	0
ENSMUSG00000103563.2	0	0	0
ENSMUSG00000102465.2	0	0	0
ENSMUSG00000102659.2	0	0	0
ENSMUSG00000103924.2	0	0	0
ENSMUSG00000104132.2	0	0	0
ENSMUSG00000102747.2	0	0	0
ENSMUSG00000102386.2	6	5	1
ENSMUSG00000103004.2	0	0	0
ENSMUSG00000104516.2	0	0	0
ENSMUSG00000101618.2	0	0	0
ENSMUSG00000099458.2	0	0	0
ENSMUSG00000088111.3	0	0	0
ENSMUSG00000073722.4	0	0	0
ENSMUSG00000119695.1	0	0	0
ENSMUSG00000100310.2	0	0	0
ENSMUSG00000101514.3	0	0	0
ENSMUSG00000101033.2	0	0	0
ENSMUSG00000101372.2	2	0	2
ENSMUSG00000103241.2	0	0	0
ENSMUSG00000086240.5	23	11	12
ENSMUSG00000048411.5	0	0	0
ENSMUSG00000081557.3	0	0	0
ENSMUSG00000058590.3	0	0	0
ENSMUSG00000101235.2	0	0	0
ENSMUSG00002075209.1	0	0	0
ENSMUSG00002076857.1	0	0	0
ENSMUSG00002074912.1	0	0	0
ENSMUSG00000099257.3	0	0	0
ENSMUSG00000099492.2	26	14	12
ENSMUSG00000118548.2	0	0	0
ENSMUSG00000101726.2	0	0	0
ENSMUSG00002075317.1	0	0	0
ENSMUSG00002075289.1	0	0	0
ENSMUSG00000053185.3	0	0	0
ENSMUSG00000100261.2	3	1	2
ENSMUSG00000101180.2	0	0	0
ENSMUSG00000048874.16	5080	2488	2592
ENSMUSG00000103783.2	0	0	0
ENSMUSG00000104315.2	6	5	1
ENSMUSG00000026064.17	14	11	3
ENSMUSG00000117310.3	7	3	4
ENSMUSG00000117091.2	5	2	3
ENSMUSG00000086726.4	0	0	0
ENSMUSG00000086727.10	11	4	7
ENSMUSG00000100237.2	10	3	7
ENSMUSG00002076113.1	0	0	0
ENSMUSG00000100910.2	12	9	3
ENSMUSG00000099796.2	8	1	7
ENSMUSG00000050217.14	1	1	0
ENSMUSG00000026063.5	0	0	0
ENSMUSG00000077664.3	0	0	0
ENSMUSG00000100205.2	0	0	0
ENSMUSG00000100592.2	0	0	0
ENSMUSG00000094215.4	0	0	0
